doctor_id,name,specialization,hospital_name
D241,Dr. Vivek Roy,Psychiatry,Columbia Asia
D242,Dr. Dhruv Shah,Pediatrics,Lilavati Hospital
D243,Dr. Rajan Dixit,Ophthalmology,Wockhardt Hospital
D244,Dr. Amita Krishnan,Anesthesiology,Amrita Hospital
D245,Dr. Madhuri Khanna,Oncology,Sharda Hospital
D246,Dr. Rajan Kumar,Cardiology,PGI Chandigarh
D247,Dr. Neha Chaudhary,Pediatrics,Global Hospital
D248,Dr. Meena Deshpande,ENT,Kokilaben Hospital
D249,Dr. Vandana Yadav,Oncology,Manipal Hospital
D250,Dr. Gaurav Chakraborty,Rheumatology,Apollo Clinic
D251,Dr. Hemlata Singh,Oncology,Kokilaben Hospital
D252,Dr. Pradeep Roy,Cardiology,PGI Chandigarh
D253,Dr. Hemant Subramaniam,Anesthesiology,Lilavati Hospital
D254,Dr. Prakash Srivastava,Pathology,KEM Hospital
D255,Dr. Meena Rajan,Urology,CMC Vellore
D256,Dr. Dinesh More,General Medicine,Amrita Hospital
D257,Dr. Rajiv Chauhan,Nephrology,Manipal Hospital
D258,Dr. Rupa Dixit,Rheumatology,Kokilaben Hospital
D259,Dr. Sunita Pandey,Anesthesiology,SGPGI Lucknow
D260,Dr. Dipika Srivastava,Rheumatology,City Care Hospital
D261,Dr. Rajesh Oberoi,Gynecology,BLK Hospital
D262,Dr. Madhavi Bose,Pathology,Sahyadri Hospital
D263,Dr. Ashok Chatterjee,Oncology,Narayana Health
D264,Dr. Girish Dey,Gastroenterology,Nair Hospital
D265,Dr. Santosh Bansal,Oncology,Nair Hospital
D266,Dr. Hemlata Malhotra,Urology,Columbia Asia
D267,Dr. Vijay Verma,Gynecology,PGI Chandigarh
D268,Dr. Neeraj Shinde,Ophthalmology,Care Hospital
D269,Dr. Anita Shukla,Gynecology,JIPMER Puducherry
D270,Dr. Sunita Gill,Psychiatry,Columbia Asia
D271,Dr. Neeraj Rajput,Rheumatology,Manipal Hospital
D272,Dr. Varsha Shah,Orthopedics,KEM Hospital
D273,Dr. Rahul Sen,General Medicine,Global Hospital
D274,Dr. Dhruv Shinde,Psychiatry,Breach Candy Hospital
D275,Dr. Hemlata Sethi,Oncology,Medanta Hospital
D276,Dr. Bharat More,Orthopedics,Skin Glow Clinic
D277,Dr. Bhavna Dwivedi,Nephrology,Columbia Asia
D278,Dr. Kiran Dixit,Cardiology,Venkateshwar Hospital
D279,Dr. Vandana Shah,Gastroenterology,PGI Chandigarh
D280,Dr. Anita Vyas,Orthopedics,Kokilaben Hospital
D281,Dr. Rajesh Sen,Cardiology,Hinduja Hospital
D282,Dr. Archana Khanna,Neurology,Columbia Asia
D283,Dr. Rajan Sethi,Psychiatry,Columbia Asia
D284,Dr. Usha Babu,Gastroenterology,Sassoon Hospital
D285,Dr. Sudha Chauhan,Oncology,Fortis Hospital
D286,Dr. Suresh Tiwari,Urology,SGPGI Lucknow
D287,Dr. Archana Chakraborty,Neurology,CMC Vellore
D288,Dr. Meera Jain,Dermatology,Global Hospital
D289,Dr. Anjali Nair,Orthopedics,Kokilaben Hospital
D290,Dr. Vijay Thakur,Endocrinology,Medanta Hospital
D291,Dr. Pramod Singh,Orthopedics,SGPGI Lucknow
D292,Dr. Ajay Mehta,Orthopedics,Global Hospital
D293,Dr. Manju Banerjee,Psychiatry,Breach Candy Hospital
D294,Dr. Madhavi Chaudhary,Pathology,BLK Hospital
D295,Dr. Santosh Roy,Gynecology,Hinduja Hospital
D296,Dr. Amit Tomar,Gynecology,Breach Candy Hospital
D297,Dr. Smita Ghosh,Urology,Yashoda Hospital
D298,Dr. Kapil Patel,Dermatology,Columbia Asia
D299,Dr. Savita Patel,Gastroenterology,Aster Hospital
D300,Dr. Bhavna Krishnan,Gastroenterology,Venkateshwar Hospital
D301,Dr. Arvind Prasad,Urology,Dharamshila Hospital
D302,Dr. Sunil Thakur,Anesthesiology,Aakash Healthcare
D303,Dr. Anita Saxena,Nephrology,City Care Hospital
D304,Dr. Sachin Krishnan,Endocrinology,Metro Hospital
D305,Dr. Hemlata Nambiar,Nephrology,Aster Hospital
D306,Dr. Meera Malhotra,Dermatology,Sharda Hospital
D307,Dr. Rahul Vyas,Gynecology,Rainbow Clinic
D308,Dr. Usha Desai,Neurology,Lilavati Hospital
D309,Dr. Archana Sharma,Gynecology,Jupiter Hospital
D310,Dr. Sunil Rawat,Pulmonology,Rainbow Clinic
D311,Dr. Ravi Deshpande,Gastroenterology,Dharamshila Hospital
D312,Dr. Hemlata Chopra,Endocrinology,Global Hospital
D313,Dr. Bhavna Menon,Radiology,JIPMER Puducherry
D314,Dr. Saroj Bose,Neurology,Lilavati Hospital
D315,Dr. Pradeep Venkatesh,Pathology,Nair Hospital
D316,Dr. Meena Bhatt,Rheumatology,Sahyadri Hospital
D317,Dr. Dinesh Khanna,Cardiology,Skin Glow Clinic
D318,Dr. Prakash Mehta,Ophthalmology,Medanta Hospital
D319,Dr. Madhuri Chakraborty,Gastroenterology,Breach Candy Hospital
D320,Dr. Kamla Sen,Anesthesiology,Breach Candy Hospital
D321,Dr. Nisha Desai,Pediatrics,Sunshine Hospital
D322,Dr. Sandeep Ghosh,Oncology,Wockhardt Hospital
D323,Dr. Dhruv Subramaniam,Gynecology,NIMHANS Bengaluru
D324,Dr. Rajiv Srivastava,Anesthesiology,Sunshine Hospital
D325,Dr. Sudha Tripathi,Pediatrics,Fortis Hospital
D326,Dr. Meena Mishra,Pediatrics,Care Hospital
D327,Dr. Tarun Patel,Gynecology,PGI Chandigarh
D328,Dr. Shaila Raju,Pulmonology,Venkateshwar Hospital
D329,Dr. Santosh Gill,Urology,Manipal Hospital
D330,Dr. Arvind Roy,Oncology,Max Healthcare
D331,Dr. Renuka Pandey,ENT,Global Hospital
D332,Dr. Rajan Rajan,Nephrology,AIIMS Delhi
D333,Dr. Vikram Goyal,Dermatology,Amrita Hospital
D334,Dr. Saroj Gupta,Urology,CMC Vellore
D335,Dr. Saroj More,Neurology,JIPMER Puducherry
D336,Dr. Alok Kadam,ENT,Venkateshwar Hospital
D337,Dr. Manish Banerjee,Ophthalmology,Global Hospital
D338,Dr. Sheela Murthy,Anesthesiology,PGI Chandigarh
D339,Dr. Varsha Dwivedi,Gynecology,JIPMER Puducherry
D340,Dr. Rohit Sethi,Psychiatry,Jupiter Hospital
D341,Dr. Bharat Chatterjee,General Medicine,Max Healthcare
D342,Dr. Vikram Kapoor,ENT,Global Hospital
D343,Dr. Rajan Yadav,Pulmonology,Venkateshwar Hospital
D344,Dr. Ramesh Ghosh,Neurology,Narayana Health
D345,Dr. Gaurav Shukla,Gastroenterology,Sharda Hospital
D346,Dr. Umesh Chaudhary,Ophthalmology,Sharda Hospital
D347,Dr. Shalini Dwivedi,Pulmonology,Care Hospital
D348,Dr. Deepa Naidu,Neurology,Ruby Hall Clinic
D349,Dr. Poonam Negi,Gynecology,NIMHANS Bengaluru
D350,Dr. Pankaj Trivedi,General Medicine,Max Healthcare
D351,Dr. Vijay Dwivedi,Cardiology,BLK Hospital
D352,Dr. Yogesh Prasad,Nephrology,Aakash Healthcare
D353,Dr. Amita Shinde,Oncology,Metro Hospital
D354,Dr. Swati Reddy,Psychiatry,Metro Hospital
D355,Dr. Pradeep Goyal,Psychiatry,Yashoda Hospital
D356,Dr. Vinod Shah,General Medicine,CMC Vellore
D357,Dr. Ashok Chopra,Nephrology,Osmed Hospital
D358,Dr. Varsha Patil,Psychiatry,Global Hospital
D359,Dr. Rakesh Chauhan,Radiology,KEM Hospital
D360,Dr. Nilesh Roy,Urology,CMC Vellore
D361,Dr. Sheela Jadhav,Gastroenterology,Skin Glow Clinic
D362,Dr. Meera Tiwari,ENT,CMC Vellore
D363,Dr. Sachin Garg,ENT,JIPMER Puducherry
D364,Dr. Nisha Venkatesh,Cardiology,PGI Chandigarh
D365,Dr. Shalini Pawar,Orthopedics,Nair Hospital
D366,Dr. Pradeep Sethi,ENT,CMC Vellore
D367,Dr. Pooja Awasthi,Rheumatology,SGPGI Lucknow
D368,Dr. Meena Varma,Neurology,Skin Glow Clinic
D369,Dr. Vikram Shukla,Nephrology,Sahyadri Hospital
D370,Dr. Rekha More,Rheumatology,Venkateshwar Hospital
D371,Dr. Rekha Deshpande,Dermatology,Care Hospital
D372,Dr. Neeraj Vyas,ENT,Narayana Health
D373,Dr. Santosh Mehta,Anesthesiology,Care Hospital
D374,Dr. Alok Goyal,Rheumatology,Sassoon Hospital
D375,Dr. Amita Rao,Nephrology,Rainbow Clinic
D376,Dr. Deepa Banerjee,Endocrinology,CMC Vellore
D377,Dr. Manish Oberoi,Urology,City Care Hospital
D378,Dr. Sandeep Mukherjee,Pathology,Sunshine Hospital
D379,Dr. Prakash More,General Medicine,City Care Hospital
D380,Dr. Rajesh Tomar,Ophthalmology,Global Hospital
D381,Dr. Manju Mane,Nephrology,AIIMS Delhi
D382,Dr. Rahul Das,Gynecology,Hinduja Hospital
D383,Dr. Trupti Soni,Anesthesiology,Global Hospital
D384,Dr. Sunil Chakraborty,Radiology,Sharda Hospital
D385,Dr. Swati Singh,Neurology,CMC Vellore
D386,Dr. Sandeep Krishnan,Pulmonology,CMC Vellore
D387,Dr. Jyoti Upadhyay,Dermatology,Kokilaben Hospital
D388,Dr. Kalpana Warrier,Dermatology,Lilavati Hospital
D389,Dr. Nisha Negi,Urology,Narayana Health
D390,Dr. Manish Krishnan,Cardiology,Rainbow Clinic
D391,Dr. Meera Garg,Radiology,NIMHANS Bengaluru
D392,Dr. Madhuri Babu,Pediatrics,Max Healthcare
D393,Dr. Usha Vyas,Radiology,Aster Hospital
D394,Dr. Sheela Kadam,ENT,Global Hospital
D395,Dr. Kiran Shinde,Gastroenterology,Hinduja Hospital
D396,Dr. Nikhil Subramaniam,Neurology,Kokilaben Hospital
D397,Dr. Anjali Arora,Urology,Medanta Hospital
D398,Dr. Nilesh Oberoi,Nephrology,Sahyadri Hospital
D399,Dr. Divya Rao,Ophthalmology,Lilavati Hospital
D400,Dr. Hemant Chauhan,Pulmonology,Rainbow Clinic
D401,Dr. Sandeep Chopra,Dermatology,Venkateshwar Hospital
D402,Dr. Divya Venkatesh,Cardiology,Sunshine Hospital
D403,Dr. Lata Chakraborty,General Medicine,Venkateshwar Hospital
D404,Dr. Usha Singh,Neurology,Sunshine Hospital
D405,Dr. Dhruv Dixit,Pediatrics,Venkateshwar Hospital
D406,Dr. Sandeep Tomar,Rheumatology,Aakash Healthcare
D407,Dr. Hemlata Murthy,Neurology,Lilavati Hospital
D408,Dr. Dipika Shah,Endocrinology,Amrita Hospital
D409,Dr. Hemlata Das,Cardiology,Apollo Clinic
D410,Dr. Nikhil Mehta,Orthopedics,Nair Hospital
D411,Dr. Archana Tripathi,Anesthesiology,Sassoon Hospital
D412,Dr. Amit Reddy,Cardiology,Medanta Hospital
D413,Dr. Lalita Bisht,Neurology,Manipal Hospital
D414,Dr. Yogesh Murthy,Oncology,NIMHANS Bengaluru
D415,Dr. Santosh Arora,Pulmonology,Global Hospital
D416,Dr. Rakesh Rajan,Nephrology,Kokilaben Hospital
D417,Dr. Manish Arora,Neurology,Apollo Clinic
D418,Dr. Renuka Mishra,Psychiatry,Yashoda Hospital
D419,Dr. Sachin Kapoor,Oncology,Ruby Hall Clinic
D420,Dr. Vivek Dwivedi,Psychiatry,Manipal Hospital
D421,Dr. Gaurav Goyal,Rheumatology,Rainbow Clinic
D422,Dr. Kiran Soni,General Medicine,Sunshine Hospital
D423,Dr. Geeta Shinde,Nephrology,Aakash Healthcare
D424,Dr. Anita Nair,Cardiology,Aster Hospital
D425,Dr. Madhavi Mane,Pulmonology,Columbia Asia
D426,Dr. Trupti Murthy,ENT,Dharamshila Hospital
D427,Dr. Sarita Srivastava,Urology,Hinduja Hospital
D428,Dr. Sachin Shukla,ENT,Sunshine Hospital
D429,Dr. Lata Chopra,Oncology,Rainbow Clinic
D430,Dr. Vivek Patel,Gynecology,Global Hospital
D431,Dr. Arun Varma,Pediatrics,AIIMS Delhi
D432,Dr. Harish Shinde,Ophthalmology,Narayana Health
D433,Dr. Priya Vyas,Anesthesiology,City Care Hospital
D434,Dr. Kapil Anand,Dermatology,Sassoon Hospital
D435,Dr. Sheela Pandey,Dermatology,Max Healthcare
D436,Dr. Chitra Rawat,Oncology,Osmed Hospital
D437,Dr. Sneha Shukla,Pediatrics,NIMHANS Bengaluru
D438,Dr. Neha Pathak,Neurology,Jupiter Hospital
D439,Dr. Sunil Patel,Pulmonology,SGPGI Lucknow
D440,Dr. Ajay Kadam,Nephrology,Medanta Hospital
D441,Dr. Kiran Shah,Nephrology,Narayana Health
D442,Dr. Ajay Rawat,Orthopedics,Sassoon Hospital
D443,Dr. Umesh Gupta,Dermatology,Narayana Health
D444,Dr. Manish Rajan,Pulmonology,Manipal Hospital
D445,Dr. Sheela Saxena,Orthopedics,Rainbow Clinic
D446,Dr. Hemant Rao,Oncology,Lilavati Hospital
D447,Dr. Madhuri Anand,Urology,Aakash Healthcare
D448,Dr. Prakash Chaudhary,Pulmonology,Ruby Hall Clinic
D449,Dr. Neha Sharma,Pathology,Global Hospital
D450,Dr. Pankaj Mehta,General Medicine,Rainbow Clinic
D451,Dr. Amita Chauhan,Gastroenterology,Rainbow Clinic
D452,Dr. Dipika Patel,Oncology,Osmed Hospital
D453,Dr. Bhavna Das,Dermatology,BLK Hospital
D454,Dr. Harish Raju,Pediatrics,PGI Chandigarh
D455,Dr. Rohit Anand,Endocrinology,NIMHANS Bengaluru
D456,Dr. Smita Garg,Psychiatry,Medanta Hospital
D457,Dr. Rohit Rajan,Orthopedics,Fortis Hospital
D458,Dr. Vinod Chaudhary,General Medicine,Aster Hospital
D459,Dr. Rekha Kapoor,Ophthalmology,Apollo Clinic
D460,Dr. Dipika Rajput,Nephrology,Skin Glow Clinic
D461,Dr. Swati Tripathi,Cardiology,Breach Candy Hospital
D462,Dr. Archana Mishra,Rheumatology,BLK Hospital
D463,Dr. Savita Awasthi,Radiology,Venkateshwar Hospital
D464,Dr. Shyam Babu,Dermatology,NIMHANS Bengaluru
D465,Dr. Pallavi Sharma,General Medicine,Columbia Asia
D466,Dr. Rohit Mane,Oncology,Breach Candy Hospital
D467,Dr. Sachin Varma,Gynecology,Max Healthcare
D468,Dr. Girish Babu,Gastroenterology,PGI Chandigarh
D469,Dr. Bharat Pandey,Pulmonology,SGPGI Lucknow
D470,Dr. Kapil Nambiar,Cardiology,Breach Candy Hospital
D471,Dr. Trupti Mane,Oncology,CMC Vellore
D472,Dr. Manish Soni,Neurology,Max Healthcare
D473,Dr. Jyoti Reddy,Ophthalmology,Nair Hospital
D474,Dr. Sudha Banerjee,Dermatology,AIIMS Delhi
D475,Dr. Komal Jadhav,Ophthalmology,Apollo Clinic
D476,Dr. Hemant Solanki,Cardiology,Aakash Healthcare
D477,Dr. Sunita Garg,Urology,SGPGI Lucknow
D478,Dr. Ravi Shinde,Cardiology,Wockhardt Hospital
D479,Dr. Amit Mishra,Ophthalmology,Ruby Hall Clinic
D480,Dr. Vishal Banerjee,Orthopedics,Columbia Asia
D481,Dr. Saroj Anand,Gastroenterology,Sharda Hospital
D482,Dr. Deepa Raju,Anesthesiology,Sassoon Hospital
D483,Dr. Usha Sethi,Psychiatry,CMC Vellore
D484,Dr. Anita Pathak,Gynecology,Max Healthcare
D485,Dr. Harish Mehta,Gastroenterology,Dharamshila Hospital
D486,Dr. Ravi Pillai,Pulmonology,AIIMS Delhi
D487,Dr. Saroj Krishnan,Anesthesiology,Osmed Hospital
D488,Dr. Saroj Shah,Endocrinology,Metro Hospital
D489,Dr. Arjun Goyal,Neurology,Narayana Health
D490,Dr. Vinod Anand,General Medicine,AIIMS Delhi
D491,Dr. Manoj Kulkarni,Pediatrics,Wockhardt Hospital
D492,Dr. Pramod Bhatia,Orthopedics,Aakash Healthcare
D493,Dr. Kalpana Raju,Gastroenterology,City Care Hospital
D494,Dr. Vivek Patil,Anesthesiology,Breach Candy Hospital
D495,Dr. Savita Krishnan,Oncology,Aster Hospital
D496,Dr. Deepa Babu,Neurology,CMC Vellore
D497,Dr. Sandeep Prasad,Endocrinology,Venkateshwar Hospital
D498,Dr. Smita Pandey,Neurology,Sharda Hospital
D499,Dr. Shyam Sen,Pathology,Ruby Hall Clinic
D500,Dr. Pradeep Das,Radiology,Venkateshwar Hospital
D501,Dr. Shyam Bisht,Cardiology,Sahyadri Hospital
D502,Dr. Kavita Pandey,Psychiatry,Care Hospital
D503,Dr. Pramod Desai,Gastroenterology,Narayana Health
D504,Dr. Sheela Nair,Gynecology,Care Hospital
D505,Dr. Deepa Malhotra,Oncology,JIPMER Puducherry
D506,Dr. Arjun Sharma,Rheumatology,Fortis Hospital
D507,Dr. Vinod Krishnan,Gastroenterology,Sassoon Hospital
D508,Dr. Suresh Dey,Gynecology,Skin Glow Clinic
D509,Dr. Harish Dey,Pulmonology,Dharamshila Hospital
D510,Dr. Sunita Das,General Medicine,PGI Chandigarh
D511,Dr. Sameer Oberoi,Dermatology,Fortis Hospital
D512,Dr. Lata Bhatt,Ophthalmology,Sharda Hospital
D513,Dr. Vishal Awasthi,Cardiology,Manipal Hospital
D514,Dr. Meena Trivedi,Radiology,Jupiter Hospital
D515,Dr. Madhuri Shukla,Dermatology,Aster Hospital
D516,Dr. Pradeep Subramaniam,Urology,Venkateshwar Hospital
D517,Dr. Yogesh Malhotra,Nephrology,JIPMER Puducherry
D518,Dr. Shyam Dwivedi,ENT,Nair Hospital
D519,Dr. Nilesh Negi,Orthopedics,Aakash Healthcare
D520,Dr. Shyam Bose,Psychiatry,Kokilaben Hospital
D521,Dr. Vandana Iyer,Dermatology,Hinduja Hospital
D522,Dr. Sandeep Nambiar,General Medicine,Kokilaben Hospital
D523,Dr. Komal Goyal,Pulmonology,Sassoon Hospital
D524,Dr. Rajiv Kapoor,Pathology,AIIMS Delhi
D525,Dr. Vivek Tiwari,Anesthesiology,Sassoon Hospital
D526,Dr. Jyoti Babu,Psychiatry,Metro Hospital
D527,Dr. Anita Varma,Radiology,Yashoda Hospital
D528,Dr. Rohit Shinde,Radiology,Hinduja Hospital
D529,Dr. Ajay Krishnan,Psychiatry,Medanta Hospital
D530,Dr. Poonam Dey,Pulmonology,Medanta Hospital
D531,Dr. Pankaj Singh,Cardiology,Medanta Hospital
D532,Dr. Sheela Roy,Pathology,Hinduja Hospital
D533,Dr. Amit Subramaniam,Dermatology,PGI Chandigarh
D534,Dr. Lalita Pillai,Pathology,Dharamshila Hospital
D535,Dr. Ravi Bhatt,Neurology,Sahyadri Hospital
D536,Dr. Rohit Shah,Pediatrics,Aakash Healthcare
D537,Dr. Divya Yadav,Urology,Sunshine Hospital
D538,Dr. Sunita Khanna,Psychiatry,BLK Hospital
D539,Dr. Seema Pillai,Oncology,Sharda Hospital
D540,Dr. Pallavi Bose,Gastroenterology,Max Healthcare
