medicine_id,medicine_name,category,price_per_unit,stock_quantity,expiry_date
M0038,Empagliflozin,Antidiabetic,3.64,390,2029-09-06
M0039,Dapagliflozin,Antidiabetic,49.81,541,2025-10-26
M0040,Canagliflozin,Antidiabetic,48.57,11,2024-04-14
M0041,Liraglutide,Antidiabetic,34.24,549,2025-12-28
M0042,Acarbose,Antidiabetic,38.55,348,2024-04-01
M0043,Ceftriaxone,Antibiotic,15.03,161,2028-02-02
M0044,Cefixime,Antibiotic,0.66,269,2028-08-12
M0045,Cefuroxime,Antibiotic,38.22,519,2024-03-11
M0046,Amoxiclav,Antibiotic,43.59,305,2028-09-10
M0047,Meropenem,Antibiotic,30.64,156,2027-03-12
M0048,Vancomycin,Antibiotic,38.24,552,2028-12-12
M0049,Linezolid,Antibiotic,45.97,331,2028-06-24
M0050,Gentamicin,Antibiotic,1.46,371,2026-06-13
M0051,Clindamycin,Antibiotic,12.35,246,2029-05-12
M0052,Metronidazole,Antibiotic,47.37,87,2028-06-13
M0053,Fluconazole,Antifungal,40.89,545,2024-05-30
M0054,Itraconazole,Antifungal,6.86,486,2029-03-01
M0055,Voriconazole,Antifungal,8.67,540,2029-10-20
M0056,Acyclovir,Antiviral,21.45,216,2029-01-17
M0057,Valacyclovir,Antiviral,37.89,205,2026-06-30
M0058,Oseltamivir,Antiviral,20.25,382,2027-11-30
M0059,Tenofovir,Antiviral,45.03,462,2024-05-10
M0060,Lamivudine,Antiviral,12.77,65,2026-10-16
M0061,Salbutamol,Bronchodilator,1.54,567,2025-07-31
M0062,Ipratropium,Bronchodilator,29.63,7,2023-10-18
M0063,Theophylline,Bronchodilator,35.54,60,2025-07-26
M0064,Budesonide,Bronchodilator,3.84,32,2026-09-15
M0065,Formoterol,Bronchodilator,4.01,243,2026-02-14
M0066,Salmeterol,Bronchodilator,33.61,219,2029-01-17
M0067,Lactulose,Laxative,7.05,584,2029-06-18
M0068,Bisacodyl,Laxative,23.9,484,2027-07-26
M0069,Senna,Laxative,9.93,99,2027-11-01
M0070,Psyllium,Laxative,18.04,420,2028-03-27
M0071,Domperidone,Antacid,43.26,55,2024-02-08
M0072,Pantoprazole,Antacid,3.5,347,2024-03-23
M0073,Esomeprazole,Antacid,12.81,194,2029-01-05
M0074,Sucralfate,Antacid,22.71,432,2025-01-21
M0075,Ondansetron,Antipyretic,14.29,255,2023-11-05
M0076,Promethazine,Antihistamine,22.43,563,2024-02-06
M0077,Loratadine,Antihistamine,3.0,553,2023-03-02
M0078,Fexofenadine,Antihistamine,48.47,242,2024-11-12
M0079,Desloratadine,Antihistamine,20.62,492,2025-05-25
M0080,Levocetirizine,Antihistamine,43.3,60,2024-11-05
M0081,Chlorpheniramine,Antihistamine,19.26,399,2025-12-22
M0082,Diphenhydramine,Antihistamine,46.36,465,2026-03-14
M0083,Hydroxyzine,Antihistamine,21.44,569,2028-06-16
M0084,Azelastine,Antihistamine,8.16,303,2025-06-10
M0085,Vitamin D3,Supplement,48.45,593,2029-01-29
M0086,Vitamin B12,Supplement,3.52,321,2023-08-23
M0087,Vitamin B6,Supplement,2.98,488,2028-08-21
M0088,Folic Acid,Supplement,46.01,543,2024-10-06
M0089,Iron Sulfate,Supplement,3.32,520,2023-11-25
M0090,Calcium Carbonate,Supplement,42.64,70,2029-09-03
M0091,Zinc Sulfate,Supplement,3.86,240,2027-07-12
M0092,Magnesium Oxide,Supplement,6.43,583,2025-10-05
M0093,Omega 3,Supplement,29.16,40,2029-12-11
M0094,Niacin,Supplement,4.56,597,2029-05-04
M0095,Riboflavin,Supplement,26.38,267,2025-04-16
M0096,Thiamine,Supplement,33.65,321,2025-09-04
M0097,Rosuvastatin,Statin,13.65,134,2026-05-13
M0098,Simvastatin,Statin,23.13,74,2023-02-08
M0099,Pravastatin,Statin,23.19,576,2024-02-14
M0100,Fluvastatin,Statin,4.13,218,2028-09-03
M0101,Pitavastatin,Statin,13.63,357,2023-10-09
M0102,Lovastatin,Statin,44.02,378,2026-03-13
M0103,Gabapentin 250mg Patch,Analgesic,35.33,541,2023-02-02
M0104,Vitamin B12 500mg Cream,Supplement,46.62,106,2024-07-04
M0105,Sitagliptin 20mg Capsule,Antidiabetic,37.25,159,2026-01-20
M0106,Pioglitazone 1g Injection,Antidiabetic,36.02,208,2025-12-17
M0107,Formoterol 250mg Cream,Bronchodilator,45.31,52,2024-01-14
M0108,Diphenhydramine 200mg Cream,Antihistamine,2.68,341,2024-06-19
M0109,Diphenhydramine 50mg Syrup,Antihistamine,37.19,564,2027-10-18
M0110,Pantoprazole 10mg Capsule,Antacid,4.22,152,2029-02-12
M0111,Ibuprofen 100mg Suspension,Analgesic,27.85,440,2024-06-06
M0112,Azithromycin 50mg Drops,Antibiotic,45.0,40,2027-01-05
M0113,Zolpidem 40mg Capsule,Antidepressant,18.01,573,2027-07-23
M0114,Levocetirizine 25mg Injection,Antihistamine,43.3,181,2027-08-16
M0115,Metformin 25mg Drops,Antidiabetic,39.23,421,2025-10-13
M0116,Glipizide 25mg Capsule,Antidiabetic,19.44,39,2028-04-11
M0117,Furosemide 40mg Spray,Antihypertensive,17.81,233,2025-07-02
M0118,Metformin 40mg Gel,Antidiabetic,16.75,71,2026-02-17
M0119,Cefuroxime 500mg Gel,Antibiotic,34.14,549,2026-09-18
M0120,Metformin 20mg Cream,Antidiabetic,9.34,271,2023-06-06
M0121,Omeprazole 1g Gel,Antacid,17.61,321,2027-11-23
M0122,Fexofenadine 500mg Capsule,Antihistamine,19.57,590,2025-02-17
M0123,Clopidogrel 10mg Gel,Analgesic,0.58,551,2025-03-18
M0124,Meropenem 200mg Capsule,Antibiotic,47.47,338,2029-12-27
M0125,Liraglutide 20mg Cream,Antidiabetic,25.6,418,2026-08-29
M0126,Metronidazole 50mg Patch,Antibiotic,6.8,430,2027-04-02
M0127,Vitamin B6 25mg Suspension,Supplement,28.67,415,2029-02-22
M0128,Paracetamol 50mg Cream,Analgesic,10.9,593,2029-10-20
M0129,Azelastine 100mg Spray,Antihistamine,22.37,218,2028-09-24
M0130,Salbutamol 25mg Capsule,Bronchodilator,14.55,343,2024-01-18
M0131,Rosuvastatin 40mg Cream,Statin,11.62,203,2024-08-26
M0132,Metformin 10mg Injection,Antidiabetic,49.2,74,2028-02-09
M0133,Itraconazole 1g Injection,Antifungal,36.06,393,2028-07-17
M0134,Metronidazole 40mg Syrup,Antibiotic,32.97,5,2024-03-12
M0135,Fluvastatin 200mg Injection,Statin,9.21,530,2028-03-17
M0136,Vitamin C 500mg Injection,Supplement,45.91,124,2028-02-13
M0137,Metoprolol 250mg Patch,Antihypertensive,49.4,324,2027-12-18
M0138,Desloratadine 500mg Gel,Antihistamine,41.61,561,2028-01-01
M0139,Gabapentin 250mg Spray,Analgesic,13.33,253,2026-02-09
M0140,Pravastatin 500mg Spray,Statin,31.52,281,2027-12-07
M0141,Montelukast 50mg Injection,Antiallergy,13.95,327,2029-01-21
M0142,Doxycycline 25mg Syrup,Antibiotic,11.95,156,2025-05-26
M0143,Insulin 200mg Gel,Antidiabetic,16.88,477,2027-08-31
M0144,Aspirin 40mg Gel,Analgesic,19.78,598,2023-03-22
M0145,Simvastatin 1g Gel,Statin,24.11,360,2026-05-08
M0146,Rosuvastatin 200mg Gel,Statin,27.14,559,2029-10-06
M0147,Furosemide 250mg Injection,Antihypertensive,14.01,497,2023-04-29
M0148,Gentamicin 100mg Gel,Antibiotic,36.35,478,2024-06-06
M0149,Levocetirizine 500mg Tablet,Antihistamine,45.39,577,2023-04-22
M0150,Doxycycline 200mg Syrup,Antibiotic,43.41,186,2023-07-25
M0151,Sitagliptin 200mg Drops,Antidiabetic,10.98,334,2026-10-14
M0152,Simvastatin 200mg Cream,Statin,37.72,431,2025-10-30
M0153,Doxycycline 250mg Tablet,Antibiotic,37.58,53,2026-12-04
M0154,Furosemide 20mg Tablet,Antihypertensive,37.83,253,2025-03-27
M0155,Cetirizine 1g Syrup,Antihistamine,12.31,484,2024-04-13
M0156,Esomeprazole 40mg Spray,Antacid,35.12,377,2024-11-18
M0157,Fexofenadine 1g Capsule,Antihistamine,39.0,167,2026-06-28
M0158,Omeprazole 1g Tablet,Antacid,46.48,589,2027-03-18
M0159,Clindamycin 40mg Capsule,Antibiotic,29.81,248,2024-02-22
M0160,Calcium Carbonate 50mg Suspension,Supplement,40.37,579,2023-06-18
M0161,Vitamin D3 100mg Capsule,Supplement,25.55,349,2023-02-21
M0162,Itraconazole 250mg Capsule,Antifungal,21.96,370,2028-02-27
M0163,Zinc Sulfate 25mg Gel,Supplement,9.22,534,2026-01-11
M0164,Desloratadine 500mg Spray,Antihistamine,23.51,274,2026-08-13
M0165,Warfarin 20mg Cream,Antibiotic,44.14,249,2028-03-18
M0166,Esomeprazole 1g Gel,Antacid,17.15,506,2026-08-24
M0167,Diazepam 250mg Injection,Antidepressant,18.06,264,2026-10-26
M0168,Glimepiride 1g Cream,Antidiabetic,28.01,529,2025-02-21
M0169,Doxycycline 40mg Gel,Antibiotic,24.68,246,2028-05-04
M0170,Hydroxyzine 250mg Spray,Antihistamine,39.75,95,2026-04-20
M0171,Furosemide 200mg Injection,Antihypertensive,15.66,595,2027-02-20
M0172,Salbutamol 500mg Patch,Bronchodilator,17.52,563,2026-09-16
M0173,Amoxiclav 250mg Cream,Antibiotic,15.68,236,2024-05-09
M0174,Omega 3 40mg Drops,Supplement,6.42,548,2025-01-28
M0175,Alprazolam 40mg Spray,Antidepressant,14.19,537,2029-09-10
M0176,Pioglitazone 20mg Injection,Antidiabetic,15.16,369,2025-01-04
M0177,Dapagliflozin 10mg Patch,Antidiabetic,6.77,46,2023-08-12
M0178,Domperidone 50mg Syrup,Antacid,32.07,502,2024-02-25
M0179,Amoxicillin 1g Cream,Antibiotic,23.74,451,2026-10-27
M0180,Diazepam 10mg Cream,Antidepressant,47.08,489,2024-04-12
M0181,Insulin 200mg Spray,Antidiabetic,4.17,54,2024-09-13
M0182,Prednisone 1g Cream,Analgesic,4.72,254,2024-04-30
M0183,Pantoprazole 200mg Suspension,Antacid,30.01,231,2028-11-10
M0184,Linezolid 250mg Spray,Antibiotic,15.22,439,2026-06-04
M0185,Esomeprazole 1g Tablet,Antacid,30.68,101,2025-05-01
M0186,Chlorpheniramine 40mg Cream,Antihistamine,33.19,160,2025-09-09
M0187,Fluoxetine 500mg Capsule,Antidepressant,8.25,418,2028-01-20
M0188,Iron Sulfate 1g Spray,Supplement,14.92,237,2026-03-26
M0189,Zinc Sulfate 50mg Spray,Supplement,4.02,239,2025-12-19
M0190,Pitavastatin 1g Injection,Statin,21.54,557,2025-07-09
M0191,Hydroxyzine 25mg Cream,Antihistamine,41.42,73,2023-09-02
M0192,Sertraline 50mg Suspension,Antidepressant,37.57,582,2026-03-28
M0193,Valacyclovir 20mg Spray,Antiviral,34.59,412,2026-01-20
M0194,Formoterol 500mg Spray,Bronchodilator,22.17,40,2027-11-05
M0195,Riboflavin 100mg Suspension,Supplement,12.89,93,2025-07-26
M0196,Vitamin B6 1g Suspension,Supplement,47.56,275,2029-06-18
M0197,Azithromycin 25mg Spray,Antibiotic,26.19,452,2026-02-13
M0198,Diazepam 1g Gel,Antidepressant,31.92,503,2024-01-09
M0199,Salbutamol 100mg Gel,Bronchodilator,17.0,107,2024-10-20
M0200,Ceftriaxone 200mg Spray,Antibiotic,14.77,410,2029-03-03
M0201,Ibuprofen 250mg Capsule,Analgesic,16.07,331,2024-04-19
M0202,Pravastatin 200mg Patch,Statin,41.33,1,2029-01-31
M0203,Lamivudine 200mg Tablet,Antiviral,9.79,370,2029-12-25
M0204,Rosuvastatin 250mg Spray,Statin,38.12,208,2025-12-29
M0205,Domperidone 25mg Cream,Antacid,22.19,496,2024-05-12
M0206,Metformin 1g Injection,Antidiabetic,35.63,318,2029-03-06
M0207,Amoxicillin 500mg Gel,Antibiotic,5.11,116,2028-03-05
M0208,Losartan 25mg Spray,Antihypertensive,46.67,298,2028-09-15
M0209,Zinc Sulfate 50mg Gel,Supplement,41.82,483,2025-09-25
M0210,Tenofovir 500mg Syrup,Antiviral,19.49,520,2024-07-13
M0211,Insulin 50mg Gel,Antidiabetic,17.32,519,2025-12-30
M0212,Promethazine 1g Spray,Antihistamine,43.33,457,2029-01-15
M0213,Ipratropium 100mg Drops,Bronchodilator,27.82,556,2027-03-26
M0214,Tenofovir 100mg Injection,Antiviral,49.05,244,2029-05-31
M0215,Gentamicin 40mg Gel,Antibiotic,2.66,484,2027-04-11
M0216,Gentamicin 25mg Spray,Antibiotic,48.26,129,2028-08-19
M0217,Promethazine 100mg Capsule,Antihistamine,43.77,450,2024-02-13
M0218,Bisacodyl 250mg Tablet,Laxative,36.26,419,2024-09-24
M0219,Montelukast 250mg Cream,Antiallergy,17.26,407,2023-11-25
M0220,Ceftriaxone 500mg Gel,Antibiotic,47.73,499,2029-01-25
M0221,Ibuprofen 1g Capsule,Analgesic,12.12,294,2025-07-20
M0222,Thiamine 20mg Gel,Supplement,48.93,102,2027-12-23
M0223,Sertraline 50mg Tablet,Antidepressant,2.78,57,2026-04-16
M0224,Amoxiclav 100mg Gel,Antibiotic,7.71,543,2027-08-15
M0225,Esomeprazole 25mg Syrup,Antacid,9.17,391,2029-12-13
M0226,Folic Acid 40mg Spray,Supplement,45.69,146,2025-08-09
M0227,Lamivudine 50mg Spray,Antiviral,13.14,9,2028-03-20
M0228,Pioglitazone 500mg Syrup,Antidiabetic,4.16,353,2029-08-03
M0229,Dapagliflozin 200mg Cream,Antidiabetic,23.11,309,2025-03-26
M0230,Gentamicin 250mg Capsule,Antibiotic,12.24,585,2027-01-10
M0231,Sucralfate 50mg Cream,Antacid,1.59,405,2026-01-29
M0232,Amoxicillin 1g Tablet,Antibiotic,45.58,508,2026-03-18
M0233,Fluvastatin 40mg Suspension,Statin,40.2,224,2025-02-17
M0234,Levocetirizine 50mg Syrup,Antihistamine,31.6,40,2026-06-19
M0235,Pitavastatin 250mg Tablet,Statin,29.19,134,2024-01-05
M0236,Empagliflozin 100mg Gel,Antidiabetic,9.19,135,2029-01-18
M0237,Meropenem 500mg Patch,Antibiotic,45.72,168,2025-11-18
M0238,Ipratropium 50mg Drops,Bronchodilator,40.31,479,2023-11-05
M0239,Levothyroxine 40mg Gel,Supplement,48.38,570,2027-02-07
M0240,Ciprofloxacin 200mg Tablet,Antibiotic,13.59,126,2028-02-06
M0241,Vancomycin 50mg Suspension,Antibiotic,19.36,380,2024-03-19
M0242,Vitamin B6 40mg Spray,Supplement,1.74,574,2026-09-05
M0243,Desloratadine 40mg Capsule,Antihistamine,31.95,475,2026-05-22
M0244,Azelastine 200mg Capsule,Antihistamine,7.42,38,2026-05-31
M0245,Budesonide 20mg Capsule,Bronchodilator,12.12,550,2024-07-09
M0246,Gentamicin 250mg Drops,Antibiotic,33.69,553,2027-09-13
M0247,Promethazine 25mg Gel,Antihistamine,32.92,501,2029-11-26
M0248,Fluconazole 50mg Tablet,Antifungal,34.67,222,2027-12-22
M0249,Valacyclovir 40mg Drops,Antiviral,5.42,376,2029-02-08
M0250,Hydroxyzine 100mg Tablet,Antihistamine,20.21,194,2024-05-15
M0251,Tenofovir 20mg Injection,Antiviral,32.26,21,2023-07-27
M0252,Pitavastatin 100mg Injection,Statin,49.45,578,2025-04-20
M0253,Insulin 500mg Injection,Antidiabetic,29.53,238,2026-09-07
M0254,Fluvastatin 25mg Suspension,Statin,0.64,148,2024-06-16
M0255,Psyllium 50mg Syrup,Laxative,5.94,26,2024-06-23
M0256,Amoxicillin 100mg Injection,Antibiotic,29.65,16,2024-12-14
M0257,Sitagliptin 10mg Syrup,Antidiabetic,37.22,538,2024-04-10
M0258,Thiamine 20mg Spray,Supplement,22.69,370,2028-10-03
M0259,Promethazine 20mg Spray,Antihistamine,25.44,44,2028-11-05
M0260,Dapagliflozin 250mg Tablet,Antidiabetic,3.51,490,2027-07-04
M0261,Voriconazole 20mg Spray,Antifungal,35.76,454,2023-10-29
M0262,Doxycycline 100mg Suspension,Antibiotic,7.84,129,2026-01-31
M0263,Levocetirizine 1g Patch,Antihistamine,35.75,390,2029-09-12
M0264,Bisacodyl 50mg Spray,Laxative,25.52,440,2024-02-11
M0265,Lovastatin 20mg Patch,Statin,36.18,220,2027-10-28
M0266,Oseltamivir 40mg Gel,Antiviral,17.28,464,2027-06-22
M0267,Itraconazole 20mg Drops,Antifungal,21.62,261,2027-03-14
M0268,Prednisone 250mg Capsule,Analgesic,5.02,87,2024-01-17
M0269,Acyclovir 20mg Drops,Antiviral,40.68,569,2023-09-03
M0270,Promethazine 500mg Patch,Antihistamine,16.82,125,2027-08-10
M0271,Amoxiclav 200mg Tablet,Antibiotic,48.44,319,2026-12-11
M0272,Omeprazole 1g Patch,Antacid,11.03,493,2025-07-07
M0273,Omeprazole 100mg Patch,Antacid,18.69,285,2029-06-09
M0274,Furosemide 200mg Patch,Antihypertensive,48.74,570,2023-04-18
M0275,Fexofenadine 50mg Tablet,Antihistamine,9.43,316,2026-10-23
M0276,Cefuroxime 10mg Syrup,Antibiotic,43.56,579,2027-06-30
M0277,Insulin 25mg Tablet,Antidiabetic,5.04,543,2025-05-31
M0278,Linezolid 200mg Spray,Antibiotic,17.37,378,2026-06-30
M0279,Omega 3 100mg Suspension,Supplement,30.01,53,2024-09-29
M0280,Gabapentin 1g Tablet,Analgesic,33.86,278,2027-12-20
M0281,Vitamin D3 200mg Spray,Supplement,30.55,424,2026-01-23
M0282,Tramadol 500mg Capsule,Analgesic,17.59,113,2026-03-06
M0283,Vitamin B6 1g Spray,Supplement,26.58,315,2023-07-06
M0284,Furosemide 200mg Suspension,Antihypertensive,3.21,209,2026-05-19
M0285,Tramadol 25mg Cream,Analgesic,14.83,122,2023-02-01
M0286,Budesonide 200mg Syrup,Bronchodilator,6.89,545,2025-07-31
M0287,Formoterol 500mg Drops,Bronchodilator,4.07,43,2027-11-22
M0288,Cetirizine 250mg Capsule,Antihistamine,43.17,589,2027-10-25
M0289,Sucralfate 200mg Gel,Antacid,14.83,414,2023-03-27
M0290,Acarbose 25mg Suspension,Antidiabetic,23.27,370,2023-12-27
M0291,Acyclovir 20mg Injection,Antiviral,22.07,410,2028-11-16
M0292,Doxycycline 200mg Cream,Antibiotic,37.42,226,2026-09-26
M0293,Fluvastatin 25mg Capsule,Statin,25.77,116,2028-12-13
M0294,Salmeterol 40mg Drops,Bronchodilator,17.88,151,2025-08-25
M0295,Omeprazole 25mg Cream,Antacid,10.26,156,2023-11-05
M0296,Fluoxetine 250mg Spray,Antidepressant,37.85,593,2028-01-13
M0297,Folic Acid 1g Suspension,Supplement,16.5,323,2024-09-10
M0298,Valacyclovir 50mg Cream,Antiviral,29.78,360,2028-09-09
M0299,Montelukast 50mg Spray,Antiallergy,22.87,58,2027-02-19
M0300,Pioglitazone 20mg Capsule,Antidiabetic,30.94,519,2027-04-24
M0301,Lamivudine 1g Patch,Antiviral,47.73,42,2028-01-17
M0302,Sucralfate 40mg Drops,Antacid,30.45,513,2024-09-09
M0303,Aspirin 250mg Capsule,Analgesic,40.64,351,2023-12-12
M0304,Formoterol 25mg Tablet,Bronchodilator,12.76,448,2027-12-05
M0305,Bisacodyl 500mg Suspension,Laxative,8.36,381,2026-03-04
M0306,Gentamicin 200mg Drops,Antibiotic,34.11,53,2026-10-02
M0307,Insulin 100mg Capsule,Antidiabetic,28.12,395,2026-03-09
M0308,Clopidogrel 1g Syrup,Analgesic,17.0,596,2024-08-02
M0309,Cefuroxime 50mg Gel,Antibiotic,6.88,86,2026-06-22
M0310,Pantoprazole 200mg Drops,Antacid,40.75,539,2024-01-18
M0311,Hydroxyzine 200mg Patch,Antihistamine,18.41,371,2026-06-19
M0312,Diazepam 40mg Drops,Antidepressant,47.41,497,2025-02-25
M0313,Furosemide 25mg Syrup,Antihypertensive,4.32,103,2028-09-10
M0314,Pravastatin 500mg Patch,Statin,2.37,344,2029-12-06
M0315,Amlodipine 1g Gel,Antihypertensive,8.14,185,2024-11-09
M0316,Omega 3 250mg Tablet,Supplement,20.84,243,2027-12-25
M0317,Desloratadine 50mg Spray,Antihistamine,12.08,244,2026-06-21
M0318,Pitavastatin 250mg Injection,Statin,18.71,584,2027-12-10
M0319,Lamivudine 50mg Gel,Antiviral,25.39,428,2024-10-25
M0320,Clonazepam 1g Syrup,Antidepressant,43.71,53,2028-05-22
M0321,Vancomycin 500mg Capsule,Antibiotic,35.71,528,2024-05-25
M0322,Pioglitazone 20mg Syrup,Antidiabetic,14.0,525,2024-08-26
M0323,Oseltamivir 100mg Tablet,Antiviral,21.04,405,2028-08-18
M0324,Vancomycin 40mg Gel,Antibiotic,49.73,383,2025-07-08
M0325,Metformin 100mg Capsule,Antidiabetic,42.04,343,2024-08-21
M0326,Metoprolol 10mg Cream,Antihypertensive,45.91,483,2024-07-22
M0327,Simvastatin 250mg Spray,Statin,30.96,81,2023-03-19
M0328,Clopidogrel 40mg Syrup,Analgesic,27.67,540,2027-09-30
M0329,Atorvastatin 50mg Injection,Statin,15.41,48,2025-09-03
M0330,Itraconazole 1g Spray,Antifungal,3.61,511,2029-09-10
M0331,Senna 10mg Patch,Laxative,28.96,147,2026-04-08
M0332,Voriconazole 10mg Suspension,Antifungal,17.96,584,2027-09-03
M0333,Diazepam 20mg Patch,Antidepressant,48.75,69,2028-11-24
M0334,Psyllium 500mg Patch,Laxative,27.93,399,2028-04-09
M0335,Azithromycin 200mg Drops,Antibiotic,13.06,16,2027-01-02
M0336,Pitavastatin 20mg Drops,Statin,12.44,106,2029-07-11
M0337,Riboflavin 100mg Syrup,Supplement,2.69,559,2026-10-18
M0338,Hydroxyzine 25mg Spray,Antihistamine,49.05,490,2025-01-16
M0339,Metoprolol 20mg Spray,Antihypertensive,2.33,206,2023-06-29
M0340,Lovastatin 40mg Tablet,Statin,16.12,317,2028-10-12
M0341,Clindamycin 500mg Spray,Antibiotic,13.04,195,2026-03-17
M0342,Amoxiclav 10mg Drops,Antibiotic,14.02,376,2027-11-25
M0343,Metronidazole 250mg Gel,Antibiotic,17.28,191,2028-07-25
M0344,Iron Sulfate 250mg Drops,Supplement,46.25,531,2025-12-28
M0345,Doxycycline 200mg Capsule,Antibiotic,21.82,184,2029-02-12
M0346,Empagliflozin 100mg Capsule,Antidiabetic,4.46,302,2026-06-09
M0347,Oseltamivir 1g Gel,Antiviral,8.75,454,2026-12-10
M0348,Oseltamivir 10mg Drops,Antiviral,30.94,445,2026-01-29
M0349,Diphenhydramine 10mg Capsule,Antihistamine,33.72,415,2027-01-28
M0350,Salmeterol 25mg Tablet,Bronchodilator,7.57,448,2023-05-23
M0351,Amlodipine 20mg Injection,Antihypertensive,39.04,375,2027-01-23
M0352,Gentamicin 1g Tablet,Antibiotic,30.45,460,2027-02-28
M0353,Vancomycin 250mg Capsule,Antibiotic,28.91,542,2027-02-12
M0354,Clindamycin 100mg Cream,Antibiotic,12.86,116,2023-04-17
M0355,Riboflavin 25mg Spray,Supplement,26.13,575,2024-04-27
M0356,Sitagliptin 50mg Spray,Antidiabetic,11.12,292,2028-07-04
M0357,Clonazepam 20mg Syrup,Antidepressant,42.71,462,2024-12-08
M0358,Magnesium Oxide 250mg Capsule,Supplement,40.62,327,2026-11-24
M0359,Zinc Sulfate 20mg Patch,Supplement,27.34,307,2024-10-07
M0360,Magnesium Oxide 25mg Drops,Supplement,25.68,124,2025-04-03
M0361,Lovastatin 25mg Injection,Statin,39.62,26,2027-01-18
M0362,Domperidone 1g Drops,Antacid,23.64,564,2024-06-15
M0363,Desloratadine 20mg Capsule,Antihistamine,15.81,490,2028-11-23
M0364,Fluconazole 200mg Suspension,Antifungal,4.15,324,2023-10-31
M0365,Oseltamivir 250mg Patch,Antiviral,17.55,564,2029-08-04
M0366,Diazepam 25mg Gel,Antidepressant,25.39,56,2024-05-23
M0367,Lactulose 25mg Cream,Laxative,8.65,330,2025-07-12
M0368,Cefuroxime 500mg Cream,Antibiotic,42.37,256,2025-03-15
M0369,Diphenhydramine 500mg Cream,Antihistamine,6.7,310,2029-11-21
M0370,Senna 20mg Patch,Laxative,32.23,594,2024-09-23
M0371,Sertraline 1g Suspension,Antidepressant,17.21,577,2023-06-18
M0372,Metformin 20mg Tablet,Antidiabetic,47.45,590,2025-12-20
M0373,Azelastine 40mg Suspension,Antihistamine,21.12,31,2028-08-01
M0374,Chlorpheniramine 500mg Cream,Antihistamine,32.27,309,2028-06-01
M0375,Warfarin 200mg Cream,Antibiotic,22.95,61,2024-10-09
M0376,Valacyclovir 200mg Spray,Antiviral,23.49,348,2029-10-20
M0377,Levothyroxine 100mg Drops,Supplement,36.84,353,2027-06-22
M0378,Amlodipine 100mg Patch,Antihypertensive,28.3,326,2025-09-17
M0379,Lamivudine 20mg Cream,Antiviral,22.76,144,2024-02-01
M0380,Vitamin C 50mg Gel,Supplement,43.28,428,2025-10-13
M0381,Gabapentin 100mg Suspension,Analgesic,36.2,194,2024-10-14
M0382,Budesonide 500mg Spray,Bronchodilator,25.19,315,2028-07-30
M0383,Cetirizine 20mg Gel,Antihistamine,25.52,246,2025-05-31
M0384,Ondansetron 100mg Tablet,Antipyretic,3.0,506,2029-09-13
M0385,Azelastine 250mg Cream,Antihistamine,27.07,110,2027-11-01
M0386,Metoprolol 50mg Drops,Antihypertensive,38.31,374,2023-07-05
M0387,Metronidazole 10mg Suspension,Antibiotic,28.31,371,2029-03-16
